=== Table ID: 2-18868987-2 ===
=== Table Title: Papal conclave, 1378 ===
Columns: Elector, Nationality, Cardinalatial order and title, Elevated, Elevator, Notes
  - Pierre de Monteruc, French, Cardinal-priest of S. Anastasia, 1356, December 23, Innocent VI, Remained in Avignon; Cardinal-nephew
  - Jean de Blandiac, French, Cardinal-bishop of Sabina, 1361, September 17, Innocent VI, Remained in Avignon
  - Gilles Aycelin de Montaigu, French, Cardinal-bishop of Frascati, 1361, September 17, Innocent VI, Remained in Avignon
  - Hugues de Saint-Martial, French, Cardinal-deacon of S. Maria in Portico, 1361, September 17, Innocent VI, Remained in Avignon
  - Ange de Grimoard , C.R.S.A., French, Cardinal-bishop of Albano, 1366, September 18, Urban V, Remained in Avignon; Cardinal-nephew
  - Guillaume de Chanac , O.S.B., French, Cardinal-priest of S. Vitale, 1371, May 30, Gregory XI, Remained in Avignon
  - Jean de la Grange , O.S.B., French, Cardinal-priest of S. Marcello, 1375, December 20, Gregory XI, Papal legate in Tuscany

=== Table ID: 2-18869646-1 ===
=== Table Title: List of May 2008 UK fuel economy ratings (T–Z) ===
Columns: Manufacturer, Transmission, Engine Capacity, Fuel Type, L/100km Urban (Cold), L/100km Extra-Urban, L/100km Combined, mpg-UK Urban (Cold), mpg-UK Extra-Urban, mpg-UK Combined, mpg-US Urban, mpg-US Extra-Urban, mpg-US Combined, CO 2 g/km, Green Rating
  - Toyota, Multi5, 998, Petrol, 5.5, 4.1, 4.6, 51.4, 68.9, 61.4, 42.8, 57.4, 51.1, 109, B
  - Toyota, M5, 998, Petrol, 5.5, 4.1, 4.6, 51.4, 68.9, 61.4, 42.8, 57.4, 51.1, 109, B
  - Toyota, M5, 998, Petrol, 6.4, 4.9, 5.4, 44.1, 57.6, 52.3, 36.7, 48.0, 43.5, 127, C
  - Toyota, M5, 1298, Petrol, 7.2, 5.3, 6.0, 39.2, 53.3, 47.1, 32.6, 44.4, 39.2, 141, C
  - Toyota, Multi5, 1298, Petrol, 6.7, 5.3, 5.8, 42.2, 53.3, 48.7, 35.1, 44.4, 40.6, 136, C
  - Toyota, M5, 1364, Diesel, 5.4, 4.0, 4.5, 52.3, 70.6, 62.8, 43.5, 58.8, 52.3, 119, B
  - Toyota, Multi5, 1364, Diesel, 5.4, 4.0, 4.5, 52.3, 70.6, 62.8, 43.5, 58.8, 52.3, 119, B
  - Toyota, M5, 1798, Petrol, 9.2, 6.0, 7.2, 30.7, 47.1, 39.2, 25.6, 39.2, 32.6, 170, E
  - Toyota, M5, 1398, Petrol, 8.7, 5.9, 6.9, 32.5, 47.9, 40.9, 27.1, 39.9, 34.1, 163, D
  - Toyota, M5, 1598, Petrol, 9.0, 5.9, 7.1, 31.4, 47.9, 39.8, 26.1, 39.9, 33.1, 166, E
